Type,Price,Locations,Year,Kilometres
Wuling Cortez,Rp 152.000.000,Cilandak,2021, 30.000 - 35.000
Honda HR-V,Rp 195.000.000,Mampang Prapatan,2017, 65.000 - 70.000
Honda CR-V,Rp 368.000.000,Cilandak,2018, 65.000 - 70.000
Mini 3 Door,Rp 520.000.000,Kebayoran Baru,2017, 25.000 - 30.000
Toyota Fortuner,Rp 440.000.000,Jakarta Selatan,2020, 25.000 - 30.000
Suzuki SX4,Rp 159.000.000,Pesanggrahan,2017, 65.000 - 70.000
Honda Brio,Rp 171.000.000,Cilandak,2020, 15.000 - 20.000
Honda Mobilio,Rp 138.000.000,Cilandak,2017, 115.000 - 120.000
Mitsubishi Xpander,Rp 202.000.000,Cilandak,2019, 30.000 - 35.000
Honda City,Rp 144.000.000,Cilandak,2014, 100.000 - 105.000
Daihatsu Terios,Rp 185.000.000,Cilandak,2020, 30.000 - 35.000
Toyota Yaris,Rp 192.000.000,Pasar Minggu,2019, 35.000 - 40.000
Mazda Biante,Rp 151.000.000,Mampang Prapatan,2013, 80.000 - 85.000
Hyundai Santa Fe,Rp 635.000.000,Kebayoran Lama,2023, 0 - 5.000
Honda CR-V,Rp 461.000.000,Cilandak,2022, 10.000 - 15.000
Toyota Alphard,Rp 310.000.000,Kebayoran Baru,2012, 100.000 - 105.000
Toyota Kijang Innova,Rp 175.000.000,Pesanggrahan,2015, 130.000 - 135.000
Honda Mobilio,Rp 118.000.000,Pesanggrahan,2016, 115.000 - 120.000
Nissan Grand livina,Rp 96.000.000,Cilandak,2012, 95.000 - 100.000
Toyota Vios,Rp 71.000.000,Cilandak,2013, >300.000
Honda HR-V,Rp 187.000.000,Kebayoran Lama,2016, 105.000 - 110.000
Toyota Kijang Innova,Rp 315.000.000,Kebayoran Baru,2018, 70.000 - 75.000
Toyota Fortuner,Rp 660.000.000,Pesanggrahan,2023, 10.000 - 15.000
Nissan Serena,Rp 295.000.000,Cilandak,2019, 45.000 - 50.000
Mercedes-Benz S400,Rp 750.000.000,Mampang Prapatan,2015, 10.000 - 15.000
Mercedes-Benz E300,Rp 212.000.000,Kebayoran Baru,2011, 90.000 - 95.000
Daihatsu Terios,Rp 179.000.000,Cilandak,2018, 40.000 - 45.000
Suzuki Ignis,Rp 106.000.000,Cilandak,2017, 30.000 - 35.000
Toyota Voxy,Rp 298.000.000,Cilandak,2017, 135.000 - 140.000
Toyota Kijang Innova,Rp 233.000.000,Cilandak,2017, 140.000 - 145.000
Fiat Abarth,Rp 675.000.000,Kebayoran Lama,2012, 25.000 - 30.000
Mercedes-Benz C200,Rp 230.000.000,Cilandak,2013, 20.000 - 25.000
BMW 320i,Rp 350.000.000,Cilandak,2015, 25.000 - 30.000
Toyota Kijang Innova,Rp 386.000.000,Pesanggrahan,2024, 0 - 5.000
Toyota Nav1,Rp 155.000.000,Jakarta Selatan,2013, 115.000 - 120.000
Mitsubishi Xpander,Rp 278.000.000,Cilandak,2023, 0 - 5.000
Honda Civic,Rp 126.000.000,Kebayoran Lama,2008, 110.000 - 115.000
Toyota Camry,Rp 116.500.000,Kebayoran Lama,2008, 160.000 - 165.000
BMW 318i,Rp 95.000.000,Cilandak,2002, 0 - 5.000
Mercedes-Benz E-Class,Rp 625.000.000,Cilandak,2018, 15.000 - 20.000
Toyota Avanza,Rp 205.000.000,Pesanggrahan,2023, 10.000 - 15.000
Mitsubishi Pajero Sport,Rp 189.000.000,Pancoran,2010, 185.000 - 190.000
Toyota Fortuner,Rp 325.000.000,Kebayoran Lama,2015, 55.000 - 60.000
Toyota Fortuner,Rp 207.000.000,Cilandak,2011, 140.000 - 145.000
Lexus NX300,Rp 680.000.000,Kebayoran Lama,2018, 25.000 - 30.000
Mazda 2,Rp 175.000.000,Cilandak,2016, 60.000 - 65.000
Toyota Sienta,Rp 140.000.000,Cilandak,2017, 90.000 - 95.000
Honda HR-V,Rp 201.000.000,Cilandak,2017, 20.000 - 25.000
Toyota Corolla Altis,Rp 265.000.000,Cilandak,2019, 40.000 - 45.000
Daihatsu Gran max,Rp 66.000.000,Cilandak,2011, 110.000 - 115.000
Toyota Alphard,Rp 675.000.000,Cilandak,2017, 55.000 - 60.000
Mercedes-Benz CLA200,Rp 495.000.000,Jakarta Selatan,2017, 15.000 - 20.000
Toyota Alphard,Rp 790.000.000,Cilandak,2018, 50.000 - 55.000
Land Rover Lain-lain,Rp 2.555.000.000,Jakarta Selatan,2021, 5.000 - 10.000
Toyota Sienta,Rp 149.000.000,Pancoran,2018, 65.000 - 70.000
Lexus NX200t,Rp 585.000.000,Pesanggrahan,2017, 35.000 - 40.000
Mitsubishi Xpander,Rp 225.000.000,Jakarta Selatan,2021, 40.000 - 45.000
Mazda CX-5,Rp 338.000.000,Kebayoran Baru,2017, 70.000 - 75.000
Toyota Yaris,Rp 207.000.000,Cilandak,2019, 35.000 - 40.000
BMW iX,Rp 1.590.000.000,Jakarta Selatan,2023, 5.000 - 10.000
BMW X1,Rp 445.000.000,Kebayoran Baru,2019, 25.000 - 30.000
Nissan Serena,Rp 149.000.000,Pasar Minggu,2014, 90.000 - 95.000
Hyundai Lain-lain,Rp 651.000.000,Kebayoran Baru,2021, 45.000 - 50.000
Honda Jazz,Rp 226.000.000,Cilandak,2019, 65.000 - 70.000
Toyota Rush,Rp 202.000.000,Cilandak,2019, 60.000 - 65.000
Hyundai Creta,Rp 340.500.000,Kebayoran Lama,2023, 0 - 5.000
Toyota Alphard,Rp 1.025.000.000,Jakarta Selatan,2020, 10.000 - 15.000
Mini Cooper Mini Cooper,Rp 415.000.000,Kebayoran Baru,2015, 30.000 - 35.000
Toyota Harrier,Rp 169.000.000,Pesanggrahan,2010, 110.000 - 115.000
Mitsubishi Pajero Sport,Rp 527.000.000,Cilandak,2023, 10.000 - 15.000
Mercedes-Benz S400,Rp 750.000.000,Jakarta Selatan,2014, 10.000 - 15.000
Hyundai Staria,Rp 651.000.000,Jakarta Selatan,2021, 45.000 - 50.000
